CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 376.921875 1724702729.5930
MEM 376.921875 1724702729.6981
MEM 376.937500 1724702729.8032
MEM 376.937500 1724702729.9083
MEM 376.937500 1724702730.0134
MEM 376.953125 1724702730.1185
MEM 376.953125 1724702730.2237
MEM 376.953125 1724702730.3288
MEM 376.953125 1724702730.4339
MEM 376.968750 1724702730.5390
MEM 376.968750 1724702730.6441
MEM 376.968750 1724702730.7492
MEM 376.968750 1724702730.8543
MEM 376.968750 1724702730.9594
MEM 376.984375 1724702731.0646
MEM 376.984375 1724702731.1697
MEM 377.046875 1724702731.2748
MEM 377.046875 1724702731.3799
MEM 377.046875 1724702731.4850
MEM 377.046875 1724702731.5901
MEM 377.046875 1724702731.6953
MEM 377.046875 1724702731.8004
MEM 377.046875 1724702731.9055
MEM 377.046875 1724702732.0106
MEM 377.062500 1724702732.1157
MEM 377.062500 1724702732.2209
MEM 377.062500 1724702732.3258
MEM 377.062500 1724702732.4309
MEM 377.078125 1724702732.5360
MEM 377.093750 1724702732.6412
MEM 377.093750 1724702732.7463
MEM 377.093750 1724702732.8514
MEM 377.093750 1724702732.9565
MEM 377.093750 1724702733.0606
MEM 377.093750 1724702733.1644
MEM 377.093750 1724702733.2695
MEM 377.093750 1724702733.3747
MEM 377.093750 1724702733.4796
MEM 377.093750 1724702733.5848
MEM 377.109375 1724702733.6899
MEM 377.125000 1724702733.7950
MEM 377.125000 1724702733.8999
MEM 377.125000 1724702734.0051
MEM 377.125000 1724702734.1102
MEM 377.125000 1724702734.2153
MEM 377.125000 1724702734.3204
MEM 377.125000 1724702734.4255
MEM 377.140625 1724702734.5306
MEM 377.140625 1724702734.6322
MEM 377.140625 1724702734.7373
MEM 377.140625 1724702734.8424
MEM 377.156250 1724702734.9475
MEM 377.156250 1724702735.0526
MEM 377.156250 1724702735.1577
MEM 377.156250 1724702735.2628
MEM 377.156250 1724702735.3680
MEM 377.171875 1724702735.4731
MEM 377.171875 1724702735.5782
MEM 377.171875 1724702735.6833
MEM 377.171875 1724702735.7884
MEM 377.171875 1724702735.8936
MEM 377.171875 1724702735.9987
MEM 377.171875 1724702736.1038
MEM 377.187500 1724702736.2089
MEM 377.187500 1724702736.3141
MEM 377.187500 1724702736.4192
MEM 377.187500 1724702736.5243
MEM 377.187500 1724702736.6252
MEM 377.187500 1724702736.7304
MEM 377.187500 1724702736.8355
MEM 377.203125 1724702736.9387
MEM 377.218750 1724702737.0438
MEM 377.218750 1724702737.1490
MEM 377.218750 1724702737.2541
MEM 377.218750 1724702737.3592
MEM 377.218750 1724702737.4643
MEM 377.218750 1724702737.5651
MEM 377.218750 1724702737.6702
MEM 377.234375 1724702737.7753
MEM 377.250000 1724702737.8805
MEM 377.250000 1724702737.9820
MEM 377.250000 1724702738.0872
MEM 377.250000 1724702738.1922
MEM 377.250000 1724702738.2974
MEM 377.250000 1724702738.4025
MEM 377.265625 1724702738.5076
MEM 377.265625 1724702738.6085
MEM 377.281250 1724702738.7136
MEM 377.281250 1724702738.8187
MEM 377.281250 1724702738.9239
MEM 377.296875 1724702739.0289
MEM 377.312500 1724702739.1341
MEM 377.312500 1724702739.2392
MEM 377.312500 1724702739.3443
MEM 377.312500 1724702739.4494
MEM 377.312500 1724702739.5545
MEM 377.312500 1724702739.6596
MEM 377.328125 1724702739.7647
MEM 377.328125 1724702739.8698
MEM 377.328125 1724702739.9749
MEM 377.328125 1724702740.0800
MEM 377.328125 1724702740.1852
MEM 377.328125 1724702740.2903
MEM 377.328125 1724702740.3954
MEM 377.328125 1724702740.5005
MEM 377.328125 1724702740.6056
MEM 377.328125 1724702740.7105
MEM 377.328125 1724702740.8156
MEM 377.328125 1724702740.9208
MEM 377.328125 1724702741.0259
MEM 377.328125 1724702741.1310
MEM 377.328125 1724702741.2362
MEM 377.343750 1724702741.3413
MEM 377.359375 1724702741.4464
MEM 377.359375 1724702741.5515
MEM 377.375000 1724702741.6567
MEM 377.375000 1724702741.7618
MEM 377.375000 1724702741.8669
MEM 377.375000 1724702741.9720
MEM 377.375000 1724702742.0753
MEM 377.375000 1724702742.1804
MEM 377.390625 1724702742.2855
MEM 377.390625 1724702742.3906
MEM 377.390625 1724702742.4957
MEM 377.390625 1724702742.6008
MEM 377.390625 1724702742.7059
MEM 377.390625 1724702742.8110
MEM 377.390625 1724702742.9161
MEM 377.390625 1724702743.0189
MEM 377.390625 1724702743.1240
